filename,stratum,total_tokens,t1_count,t2_count,t3_count,t4_count,unknown_count,n_sentences,t4_ratio,common_ratio,distinct_t4,t4_variety,cooccur_pairs,cooccur_density,multi_concept_ratio,unknown_tokens
control_01.txt,control,199,68,71,0,2,58,16,0.0144,0.6985,2,0.0101,0,0.0,0.0,"[""airtight"", ""baked"", ""baking"", ""celsius"", ""centre"", ""centres"", ""chewy"", ""chilling"", ""cookies"", ""crisp"", ""deepens"", ""dense"", ""domain"", ""dough"", ""extract"", ""flavour"", ""fluffy"", ""golden"", ""granulated"", ""lightly"", ""mixer"", ""overmix"", ""parchment"", ""preheat"", ""rack"", ""rounded"", ""scoop"", ""semisweet"", ""soda"", ""softened"", ""stir"", ""stratum"", ""synthetic"", ""tablespoons"", ""teaspoon"", ""tray"", ""underbaked"", ""unsalted"", ""vanilla"", ""vocabulary"", ""whisk""]"
control_02.txt,control,200,63,76,0,1,60,17,0.0072,0.695,1,0.005,0,0.0,0.0,"[""athletic"", ""brookfield"", ""calmly"", ""capitalising"", ""comeback"", ""crossbar"", ""curled"", ""daniel"", ""defence"", ""defensive"", ""deflection"", ""dense"", ""diving"", ""domain"", ""equaliser"", ""fierce"", ""formation"", ""frantic"", ""goalkeeper"", ""header"", ""hillcrest"", ""interval"", ""journalism"", ""marker"", ""midfield"", ""momentum"", ""nod"", ""okoro"", ""penalty"", ""playoff"", ""recovery"", ""restart"", ""restless"", ""riverside"", ""scoring"", ""seals"", ""slotted"", ""spark"", ""staged"", ""stoppage"", ""stratum"", ""striker"", ""substitute"", ""synthetic"", ""tap"", ""touchline"", ""vocabulary"", ""volley"", ""whipped"", ""winger""]"
control_03.txt,control,227,78,84,0,2,63,14,0.0123,0.7137,2,0.0088,0,0.0,0.0,"[""adopters"", ""analysts"", ""animation"", ""awkward"", ""brighter"", ""brightness"", ""buyers"", ""cleanly"", ""closing"", ""comfortably"", ""compatibility"", ""crease"", ""dense"", ""developers"", ""domain"", ""durability"", ""ecosystem"", ""editing"", ""enthusiasts"", ""extended"", ""foldable"", ""foldables"", ""gaming"", ""handset"", ""handsets"", ""hinge"", ""hood"", ""improved"", ""journalism"", ""layouts"", ""maker"", ""manufacturer"", ""manufacturing"", ""mechanism"", ""niche"", ""peak"", ""premium"", ""processor"", ""prone"", ""rating"", ""ratio"", ""redesigned"", ""refreshes"", ""resistance"", ""reviewers"", ""scrolling"", ""sized"", ""smoother"", ""stratum"", ""suited"", ""sunlight"", ""synthetic"", ""tech"", ""unveiled"", ""visible"", ""vocabulary""]"
control_04.txt,control,195,88,54,0,2,51,14,0.0141,0.7282,1,0.0051,0,0.0,0.0,"[""alleys"", ""bakery"", ""baskets"", ""bench"", ""blanket"", ""blinking"", ""casual"", ""ceramics"", ""checklist"", ""cobbled"", ""counter"", ""curiosity"", ""domain"", ""drifting"", ""ducking"", ""flaky"", ""fountain"", ""golden"", ""greeting"", ""hopefully"", ""jingled"", ""landlady"", ""lane"", ""nap"", ""nearby"", ""nodded"", ""noon"", ""overlap"", ""pastries"", ""pastry"", ""pavement"", ""pigeons"", ""retreated"", ""scrape"", ""shopkeeper"", ""shutter"", ""stirred"", ""stratum"", ""sunlight"", ""synthetic"", ""terrace"", ""tray"", ""tucked"", ""unfamiliar"", ""unhurried"", ""vocabulary"", ""wandered"", ""worn"", ""woven""]"
control_05.txt,control,226,84,77,0,7,58,19,0.0435,0.7124,2,0.0088,0,0.0,0.0,"[""anchored"", ""balcony"", ""beginners"", ""blossom"", ""cage"", ""centimetres"", ""coloured"", ""compacts"", ""containers"", ""domain"", ""drainage"", ""drains"", ""evenly"", ""fertiliser"", ""formulated"", ""harvest"", ""ideally"", ""inconsistent"", ""instructional"", ""joints"", ""kilograms"", ""loosely"", ""mature"", ""moist"", ""parallels"", ""patience"", ""pinch"", ""planting"", ""poorly"", ""procedural"", ""productive"", ""ripening"", ""rot"", ""seedling"", ""squeeze"", ""stake"", ""stem"", ""stratum"", ""sturdy"", ""sunniest"", ""sunny"", ""synthetic"", ""tightly"", ""unchecked"", ""watering"", ""waterlogged"", ""windowsill""]"
expert_01.txt,expert,1121,184,511,0,131,295,99,0.1885,0.62,20,0.0178,54,0.5455,0.4853,"[""25a"", ""accepted"", ""accord"", ""according"", ""accounting"", ""accuracy"", ""accurately"", ""adjustments"", ""administrative"", ""africa"", ""african"", ""align"", ""analyses"", ""annex"", ""anti"", ""applicable"", ""arbitrariness"", ""arbitrary"", ""ascertained"", ""asian"", ""australia"", ""authorises"", ""backdrop"", ""backwardness"", ""bangladesh"", ""calculations"", ""canada"", ""cater"", ""certainty"", ""cif"", ""cif1"", ""co"", ""collector"", ""competent"", ""complement"", ""compliance"", ""compliant"", ""computed"", ""conferred"", ""confers"", ""confidential"", ""conforms"", ""consignment"", ""conversion"", ""critically"", ""cumbersome"", ""dearth"", ""declaration"", ""defective"", ""delineating"", ""determination"", ""developed"", ""differentiate"", ""directives"", ""discretion"", ""dispute"", ""dsb"", ""dumping"", ""eliminate"", ""empowers"", ""enquiries"", ""envisaged"", ""envisages"", ""equitable"", ""estimation"", ""european"", ""existent"", ""facilitate"", ""fictitious"", ""filing"", ""fixation"", ""fob"", ""fob2"", ""framework"", ""freight"", ""frustrating"", ""gaap"", ""harmonising"", ""harmonizing"", ""hereinafter"", ""honour"", ""iii"", ""implementation"", ""inadequate"", ""inconsistencies"", ""incorporated"", ""incoterms"", ""india"", ""insubstantial"", ""insufficient"", ""invoice"", ""invoicing"", ""legislation"", ""levy"", ""likewise"", ""lodge"", ""mechanism"", ""members"", ""ministry"", ""myanmar"", ""neutral"", ""non"", ""obligatory"", ""obliged"", ""outlaws"", ""overcome"", ""pakistan"", ""partial"", ""payable"", ""pca"", ""peculiarities"", ""penalty"", ""precisely"", ""preclude"", ""predictability"", ""predictable"", ""premise"", ""prescribed"", ""prescribes"", ""prevails"", ""prevalent"", ""principles"", ""prior"", ""prohibits"", ""provision"", ""provisions"", ""publicised"", ""quantifiable"", ""regulate"", ""requisite"", ""rescinded"", ""resolution"", ""revenue"", ""ruling"", ""rulings"", ""settlement"", ""simplifying"", ""socio"", ""specifies"", ""standardising"", ""stark"", ""states"", ""stipulates"", ""strictly"", ""sub"", ""submission"", ""surveillance"", ""tariff"", ""tariffs"", ""taxes"", ""technological"", ""thwarting"", ""trader"", ""traders"", ""trading"", ""transactions"", ""transparency"", ""transparent"", ""transposed"", ""treaty"", ""undocumented"", ""uniformity"", ""unpredictable"", ""valuation"", ""vii"", ""violation"", ""wto"", ""®""]"
expert_02.txt,expert,1044,188,464,0,131,261,65,0.2009,0.6245,18,0.0172,67,1.0308,0.6735,"[""144(1"", ""144(2"", ""71(1)(e"", ""74(3"", ""absence"", ""accordance"", ""adjusted"", ""adjustments"", ""agricultural"", ""agriculture"", ""analogous"", ""analysed"", ""articles"", ""availability"", ""binding"", ""bound"", ""buyers"", ""calculations"", ""catalysers"", ""cif"", ""circular"", ""circulation"", ""clarifications"", ""clarity"", ""commentary"", ""commodities"", ""commodity"", ""comparable"", ""compendium"", ""computed"", ""concrete"", ""confidentiality"", ""consequently"", ""consignment"", ""contractual"", ""deducting"", ""deductive"", ""destruction"", ""determination"", ""discretion"", ""e.g."", ""eu"", ""eur"", ""evident"", ""extract"", ""extracted"", ""facilitating"", ""fertiliser"", ""fertilisers"", ""flexibility"", ""fulfilled"", ""gatt"", ""guidelines"", ""handling"", ""hazardous"", ""i.e."", ""ia"", ""identical/"", ""implementing"", ""impurities"", ""incurred"", ""interpretative"", ""legislation"", ""loading"", ""materials/"", ""methodology"", ""ms"", ""narrowly"", ""neutralised"", ""neutralized"", ""objectively"", ""operating"", ""payable"", ""processing"", ""provisions"", ""recalculate"", ""recipients"", ""recognised"", ""recoverable"", ""reflection"", ""regardless"", ""reliability"", ""renewed"", ""resale"", ""reseller"", ""reused"", ""sake"", ""sawdust"", ""scrap"", ""separation"", ""significance"", ""specificity"", ""starting"", ""storage"", ""subsequent"", ""subsidiary"", ""supplemented"", ""symbolic"", ""taxes"", ""territory"", ""tonne"", ""transactions"", ""ucc"", ""unrelated"", ""valuation"", ""verification"", ""vii"", ""wto"", ""x"", ""x."", ""y"", ""y."", ""z"", ""z.""]"
expert_03.txt,expert,1428,310,544,0,133,441,139,0.1557,0.598,17,0.0119,44,0.3165,0.3452,"[""3(a"", ""3ʳᵈ"", ""48(1"", ""academy"", ""according"", ""accountant"", ""accountants"", ""actively"", ""adjust"", ""adjusted"", ""adjustment"", ""aduaneiras"", ""adó-"", ""affiliated"", ""aha"", ""allocate"", ""allocation"", ""america"", ""andean"", ""appeals"", ""argumentation"", ""asia"", ""audits"", ""authors"", ""backing"", ""barbosa"", ""benchmarks"", ""biding"", ""bielskiene"", ""binding"", ""boi"", ""bois"", ""branches"", ""brazil"", ""brazilian"", ""brexit"", ""btis"", ""bukowski"", ""bulgaria"", ""bulgarian"", ""bvi"", ""bvis"", ""cabinet"", ""canada"", ""canadian"", ""ccrm"", ""certainty"", ""chartered"", ""china"", ""cif"", ""circuit"", ""cjeu"", ""clarified"", ""co"", ""colombia"", ""colombian"", ""commerce"", ""competence"", ""complexity"", ""complying"", ""conditional"", ""confusion"", ""cons"", ""consult"", ""contrary"", ""convention"", ""cookware"", ""corporation"", ""correctness"", ""correlate"", ""correspondence"", ""counsel"", ""counterparties"", ""crowell"", ""cursos"", ""customsclear"", ""d'avocats"", ""david"", ""davidson"", ""ddp"", ""declaration"", ""delicate"", ""delivered"", ""demanding"", ""dereviankine"", ""developed"", ""deviate"", ""disputes"", ""distributors"", ""doctrine"", ""documentation"", ""dr."", ""dunántúli"", ""dutiable"", ""e"", ""e.g."", ""eduardo"", ""emphasised"", ""enrika"", ""enterprises"", ""entities"", ""entity"", ""etc"", ""eu"", ""eur"", ""europe"", ""european"", ""evguenia"", ""exceptional"", ""exclusive"", ""explicitly"", ""extension"", ""factual"", ""favour"", ""firstly"", ""founder"", ""france"", ""fraud"", ""french"", ""functioning"", ""főigazgatósága"", ""gatt"", ""georgi"", ""goranov"", ""grey"", ""guidance"", ""harley"", ""hfs"", ""horgan"", ""hungary"", ""i.e."", ""icc"", ""ilona"", ""ils"", ""implementation"", ""incidental"", ""incisive"", ""incoterms"", ""initiate"", ""insights"", ""interpretation"", ""interpretations"", ""ireland"", ""ironic"", ""irrelevant"", ""israel"", ""israeli"", ""issues"", ""jointly"", ""jonas"", ""juan"", ""judgement"", ""jurisdictions"", ""kft"", ""korean"", ""l."", ""legislation"", ""legislative"", ""legislator"", ""legitimate"", ""leite"", ""lithuania"", ""lithuanian"", ""ltd"", ""manufacturer"", ""manufacturers"", ""maritime"", ""marketplaces"", ""mayer"", ""meyer"", ""minimise"", ""minimising"", ""mishchenko"", ""mitchell"", ""monika"", ""moring"", ""naujoke"", ""nemzeti"", ""neville"", ""non"", ""number"", ""nyugat"", ""obstacles"", ""odessa"", ""oecd"", ""omer"", ""overview"", ""paid"", ""paradigmes"", ""particularities"", ""payable"", ""penalties"", ""pendulum"", ""peter"", ""precedence"", ""precise"", ""preliminary"", ""prices"", ""problematic"", ""problems"", ""pros"", ""provision"", ""provisional"", ""provisions"", ""purchaser"", ""pwc"", ""pénzügyőri"", ""questionable"", ""recognised"", ""reconsider"", ""regionális"", ""remanded"", ""representation"", ""retroactive"", ""revoked"", ""royalties"", ""ruling"", ""rulings"", ""sakalauskas"", ""scheme"", ""secondly"", ""seller"", ""shipment"", ""simplified"", ""solely"", ""specified"", ""ss"", ""standards"", ""states"", ""statistical"", ""statute"", ""subsidiaries"", ""symposiums"", ""tariffs"", ""taxation"", ""taxes"", ""territory"", ""thirdly"", ""tighten"", ""transaction"", ""treaty"", ""treinamentos"", ""u.s."", ""uk"", ""ukraine"", ""unaffected"", ""underestimation"", ""underlying"", ""undervaluation"", ""undervaluations"", ""unitax"", ""unlimited"", ""unreasonably"", ""upcoming"", ""upheld"", ""upwards"", ""usa"", ""v"", ""v."", ""vacated"", ""valuation"", ""vs"", ""vs."", ""vám-"", ""vámhivatal"", ""wagner"", ""webinar"", ""weronika"", ""zandra"", ""és"", ""с-291/15""]"
expert_04.txt,expert,361,80,138,0,7,136,32,0.0321,0.6039,6,0.0166,1,0.0312,0.1667,"[""agreements"", ""and/"", ""annex"", ""anticipated"", ""avail"", ""bakers"", ""blended"", ""brexit"", ""british"", ""canada"", ""canadian"", ""capability"", ""ceta"", ""christmas"", ""circulation"", ""comparatively"", ""comply"", ""continental"", ""cooperation"", ""counterpart"", ""counterparts"", ""cumulation"", ""diagonal"", ""dispatched"", ""efficiencies"", ""efficiently"", ""eroded"", ""eu"", ""eu/"", ""europe"", ""exposure"", ""facilitated"", ""frictionless"", ""heading"", ""hitherto"", ""hs"", ""independence"", ""inefficient"", ""infrastructure"", ""invalidated"", ""ireland"", ""irish"", ""kingdom"", ""maker"", ""makers"", ""manufacture"", ""mill"", ""milled"", ""neighbouring"", ""non"", ""orig"", ""originating"", ""portion"", ""preferential"", ""processing"", ""protein"", ""provision"", ""recalibration"", ""resolution"", ""roo"", ""rules"", ""tariff"", ""tca"", ""tolerance"", ""traders"", ""uk"", ""uncompetitive"", ""unwelcome"", ""vulnerabilities"", ""wheat"", ""wholly"", ""wrangling""]"
expert_05.txt,expert,1282,180,583,0,145,374,58,0.19,0.5952,13,0.0101,103,1.7759,0.7708,"[""a-261"", ""a-352"", ""a-377"", ""accession"", ""accordance"", ""according"", ""accounting"", ""accuracy"", ""acknowledgment"", ""administrative"", ""administrator"", ""admissibility"", ""admissible"", ""ambiguously"", ""analogous"", ""analysing"", ""anti"", ""applicable"", ""applicant"", ""applicants"", ""articles"", ""assigned"", ""authenticity"", ""beemsterboer"", ""bound"", ""broadly"", ""burden"", ""c-12/92"", ""c-21/13"", ""c-293/04"", ""c-416/15"", ""c-438/11"", ""categorical"", ""certificate"", ""certificates"", ""certify"", ""china"", ""chinese"", ""cjeu"", ""clarified"", ""co."", ""coldstore"", ""complicates"", ""concessions"", ""consolidated"", ""contradictory"", ""controversies"", ""debatable"", ""declaration"", ""declarations"", ""derivative"", ""determination"", ""differ"", ""dispute"", ""disputed"", ""disputes"", ""disputing"", ""distinctive"", ""distinguishes"", ""diversity"", ""documentation"", ""dumping"", ""e."", ""ea-304"", ""ea1671"", ""edmond"", ""essentially"", ""etc"", ""eu"", ""european"", ""evers"", ""explicitly"", ""expressly"", ""fasteners"", ""favour"", ""favourable"", ""firstly"", ""formulated"", ""fraud"", ""g."", ""huygen"", ""i."", ""implementation"", ""implementing"", ""imposition"", ""inaccuracy"", ""inaccurate"", ""incorrect"", ""interpretations"", ""invoice"", ""invoices"", ""kingdom"", ""lading"", ""lagura"", ""lawful"", ""liable"", ""lithuania"", ""lithuanian"", ""non"", ""olaf"", ""originating"", ""p."", ""para"", ""peculiarities"", ""precedents"", ""preferential"", ""primarily"", ""problematic"", ""proceedings"", ""proving"", ""provision"", ""provisions"", ""reasoning"", ""recognition"", ""republic"", ""restrictive"", ""românia"", ""sanctions"", ""secondly"", ""selena"", ""services"", ""simon"", ""sole"", ""solely"", ""states"", ""subsequent"", ""subsequently"", ""substantial"", ""substantially"", ""substantiate"", ""substantiates"", ""sufficient"", ""supreme"", ""taipei"", ""taiwan"", ""tariff"", ""tariffs"", ""taxation"", ""taxpayer"", ""territory"", ""thailand"", ""trader"", ""traders"", ""traditionally"", ""transaction"", ""transactions"", ""transformation"", ""ucc"", ""underwent"", ""validity"", ""verified"", ""vermögensverwaltung"", ""vs."", ""wholly"", ""withheld"", ""wrongly""]"
expert_06.txt,expert,428,118,170,0,7,133,35,0.0243,0.6729,4,0.0093,1,0.0286,0.1667,"[""accordance"", ""according"", ""advisable"", ""and/or"", ""applicable"", ""assemblies"", ""bilateral"", ""bound"", ""c"", ""calculations"", ""convention"", ""corresponding"", ""declaration"", ""declarations"", ""e.g."", ""erp"", ""eur.1"", ""european"", ""ex"", ""exceed"", ""exclusively"", ""exw"", ""framework"", ""heading"", ""hs"", ""hurdles"", ""i.e."", ""incomplete"", ""incorporated"", ""individually"", ""injection"", ""innovation"", ""input"", ""machinery"", ""manufacture"", ""manufactured"", ""manufacturing"", ""margins"", ""matrix"", ""mediterranean"", ""moulded"", ""mutually"", ""number"", ""numbers"", ""parallel"", ""parameters"", ""pem"", ""phase.1"", ""preferential"", ""proportion"", ""recognisable"", ""reflexively"", ""respective"", ""rethink"", ""screws"", ""shipments"", ""spare"", ""supplemented"", ""supplier"", ""suppliers"", ""switzerland"", ""systematically"", ""tariff"", ""tolerance"", ""transitional"", ""underlying"", ""wording"", ""works"", ""worthwhile""]"
expert_07.txt,expert,1120,187,474,0,44,415,64,0.0666,0.5902,15,0.0134,9,0.1406,0.3214,"[""abusive"", ""accelerating"", ""acceptance"", ""accordance"", ""according"", ""accra"", ""administrations"", ""administrative"", ""afcfta"", ""africa"", ""african"", ""alleviates"", ""ambitious"", ""annex"", ""apparatus"", ""apparel"", ""appendices"", ""appendix"", ""applicable"", ""arabic"", ""arrangements/"", ""assembly"", ""assistance"", ""au"", ""avenues"", ""beneficiaries"", ""boost"", ""boosting"", ""cameroon"", ""certificate"", ""certification"", ""certified"", ""changer"", ""chapters"", ""circulate"", ""circumvention"", ""commenced"", ""communities"", ""compliant"", ""comply"", ""comprehension"", ""comprehensive"", ""comprising"", ""confer"", ""conferring"", ""confidentiality"", ""considerable"", ""consignment"", ""constitute"", ""continental"", ""cooperation"", ""coordinated"", ""cumulation"", ""declaration"", ""dedicated"", ""deemed"", ""determination"", ""dispute"", ""diversification"", ""dubbed"", ""efficiently"", ""egypt"", ""eligible"", ""engagement"", ""english"", ""enhanced"", ""essentially"", ""etc"", ""eu"", ""european"", ""ex"", ""excludes"", ""exhaustive"", ""extracted"", ""facilitation"", ""flagship"", ""flexibilities"", ""flexibility"", ""framework"", ""french"", ""fulfilled"", ""ghana"", ""gross"", ""guided"", ""harmonisation"", ""harmonized"", ""harvested"", ""heading"", ""heads"", ""hs"", ""implementation"", ""implemented"", ""infant"", ""initiate"", ""input"", ""inputs/"", ""installed"", ""insufficient"", ""integration"", ""intra"", ""invoice"", ""issuance"", ""iv"", ""jointly"", ""kenya"", ""kickstart"", ""labelling"", ""legislation"", ""legislations"", ""manipulated"", ""manipulations"", ""manufacturing"", ""mauritius"", ""meaningful"", ""mixing"", ""mutual"", ""nationality"", ""non"", ""number"", ""officially"", ""organisations"", ""originate"", ""originating"", ""overview"", ""packaging"", ""para"", ""parties"", ""partnership"", ""pave"", ""penalties"", ""portuguese"", ""preferential"", ""preservation"", ""procedural"", ""processing"", ""programme"", ""projects"", ""promotion"", ""protocol"", ""provision"", ""provisions"", ""psrs"", ""recs"", ""regulate"", ""reloading"", ""remedies"", ""roo"", ""rules"", ""rwanda"", ""scope"", ""secretariat"", ""settlement"", ""specified"", ""stakeholders"", ""stipulates"", ""submission"", ""subsequently"", ""substantial"", ""sufficient"", ""sufficiently"", ""sustainable"", ""tailor"", ""tanzania"", ""tariff"", ""territorial"", ""territories"", ""textile"", ""threshold"", ""tolerance"", ""trading"", ""transformation"", ""transshipment"", ""tunisia"", ""undergo"", ""undergone"", ""unloading"", ""usd"", ""verification"", ""wco"", ""wholly"", ""widens"", ""works"", ""zones""]"
expert_08.txt,expert,1315,209,527,0,67,512,98,0.091,0.5597,13,0.0099,25,0.2551,0.3256,"[""absence"", ""accessibility"", ""accommodate"", ""accordingly"", ""activation"", ""administrative"", ""adoption"", ""advocated"", ""advocating"", ""aeo"", ""aeoc"", ""aeos"", ""agents"", ""akritidis"", ""ambitious"", ""amendment"", ""amendments"", ""analysed"", ""antov"", ""applicants"", ""attractiveness"", ""audit"", ""audited"", ""auditors"", ""authorisation"", ""authorisations"", ""authorised"", ""authors"", ""awareness"", ""behalf"", ""belgium"", ""blackman"", ""brokerage"", ""bulgaria"", ""bulgarian"", ""burdens"", ""burdensome"", ""bv"", ""ccrm"", ""centralised"", ""certificate"", ""challenging"", ""christina"", ""christopher"", ""clarification"", ""clarified"", ""clarity"", ""coexistence"", ""commentary"", ""comparative"", ""complexities"", ""complexity"", ""compliance"", ""compliant"", ""complications"", ""comply"", ""comprehensive"", ""confidential"", ""constitutes"", ""consult"", ""consulting"", ""crowell"", ""customsclear"", ""deferred"", ""denmark"", ""dhl"", ""disruption"", ""e.g."", ""editorial"", ""effectiveness"", ""efficiency"", ""eligibility"", ""emphasised"", ""emphasising"", ""enforcement"", ""enhancements"", ""enrika"", ""enterprises"", ""entities"", ""entitled"", ""equivalent"", ""era"", ""establishment"", ""eu"", ""eur"", ""european"", ""evolution"", ""exceeding"", ""excluding"", ""expansion"", ""explicitly"", ""facilitates"", ""facilitating"", ""familiarise"", ""foremost"", ""format"", ""forwarding"", ""framework"", ""freight"", ""fulfilling"", ""georgi"", ""german"", ""germany"", ""gmbh"", ""goranov"", ""harmonise"", ""holders"", ""hristina"", ""hristova"", ""hub"", ""hurdles"", ""ics2"", ""implement"", ""implementation"", ""implemented"", ""implications"", ""inclusiveness"", ""incomprehensible"", ""infrastructure"", ""infringement"", ""infringements"", ""ireland"", ""jason"", ""legislation"", ""legislative"", ""legitimate"", ""lengthy"", ""lithuania"", ""lithuanian"", ""logistics"", ""lpp"", ""ltd"", ""lux"", ""ma"", ""managing"", ""matt"", ""measured"", ""michael"", ""milestones"", ""minimal"", ""modernising"", ""momchil"", ""monitoring"", ""mutual"", ""naujoke"", ""netherlands"", ""non"", ""notable"", ""notably"", ""nsbs"", ""number"", ""obstacles"", ""offence"", ""officially"", ""operators"", ""organisation"", ""organisational"", ""osenbrüggen"", ""overview"", ""parliament"", ""perceived"", ""perception"", ""potentially"", ""practicality"", ""practitioners"", ""premises"", ""proactively"", ""programme"", ""programmes"", ""proportionate"", ""providers"", ""provisionally"", ""provisions"", ""reactivated"", ""readiness"", ""realise"", ""recognised"", ""recognition"", ""reform"", ""regulatory"", ""reluctant"", ""resolution"", ""respondents"", ""restored"", ""revoked"", ""rigorous"", ""robust"", ""sabine"", ""safeguards"", ""scenario"", ""scrutiny"", ""sentiment"", ""sharing"", ""siemens"", ""simplification"", ""simplifications"", ""simplified"", ""smes"", ""solvency"", ""spain"", ""stakeholder"", ""stakeholders"", ""standards"", ""states"", ""streamlining"", ""strictly"", ""stringent"", ""subsequent"", ""suspended"", ""suspension"", ""t&c"", ""t&c."", ""taxation"", ""theoretical"", ""timeframe"", ""timetable"", ""trader"", ""traders"", ""transformation"", ""transparency"", ""transparent"", ""trusted"", ""ucc"", ""uk"", ""uncertain"", ""uncertainty"", ""unclear"", ""underlined"", ""uneven"", ""unfold"", ""unitax"", ""unnoticed"", ""unresolved"", ""untapped"", ""vague"", ""valid"", ""vassilis"", ""violations"", ""vs"", ""waiver"", ""€""]"
